t_global_s,edge_idx,u,v,tau,delta_frac,frac,x,y,edge_distance,slowdown_idx,t_pred_s,e_pred_J,e_cum_J,ref_speed,ref_power_W,step_dist_m,Speed,accel_mps2
0,0,5,29,0.1666666716337204,0.07392697036266327,0.07392697036266327,-4.436112880706787,1.4422178268432617,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,73.50405883789062,0.1472365675,0.0,0.0,0.0,0.0
1,0,5,29,0.3333333432674408,0.14855410158634186,0.22248107194900513,-4.2474493980407715,1.4466745853424072,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,147.00811767578125,0.289992946875,0.0,0.18871611586716616,0.18871611586716616,0.18871611586716616
2,0,5,29,0.5,0.1775626540184021,0.4000437259674072,-4.021944522857666,1.4520013332366943,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,220.51217651367188,0.2946678516129032,0.0,0.22556777911412185,0.22556777911412185,0.036851663246955685
3,0,5,29,0.6666666865348816,0.20436111092567444,0.6044048368930817,-3.7624058723449707,1.458132028579712,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,294.0162353515625,0.296985828125,0.0,0.25961104856176653,0.25961104856176653,0.034043269447644686
4,0,5,29,0.8333333134651184,0.21097607910633087,0.8153809159994125,-3.4944663047790527,1.4644614458084106,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,367.5202941894531,0.295895640625,0.0,0.2680143156435232,0.2680143156435232,0.008403267081756649
5,0,5,29,1.0,0.18461915850639343,1.0,-3.259999990463257,1.4700000286102295,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,441.02435302734375,0.295724564516129,0.0,0.2345317216247862,0.2345317216247862,-0.03348259401873699
6,1,29,26,0.20000000298023224,0.14613868296146393,0.14613868296146393,-3.2278494834899902,1.5255327224731445,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,517.728955078125,0.2963343625,0.0,0.06416802308245366,0.06416802308245366,-0.17036369854233252
7,1,29,26,0.4000000059604645,0.17700709402561188,0.3231457769870758,-3.188908100128174,1.5927953720092773,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,594.4335571289062,0.2965067935483871,0.0,0.07772191042912274,0.07772191042912274,0.013553887346669083
8,1,29,26,0.6000000238418579,0.21207235753536224,0.535218134522438,-3.142251968383789,1.6733829975128174,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,671.1381591796874,0.298009509375,0.0,0.09311906364245832,0.09311906364245832,0.015397153213335582
9,1,29,26,0.800000011920929,0.23906978964805603,0.7742879241704941,-3.0896568298339844,1.764229416847229,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,747.8427612304686,0.2990731,0.0,0.10497295130154677,0.10497295130154677,0.011853887659088444
10,1,29,26,1.0,0.22571209073066711,1.0,-3.0399999618530273,1.850000023841858,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,824.5473632812498,0.299099640625,0.0,0.099108029754936,0.099108029754936,-0.005864921546610766
11,2,26,25,0.1666666716337204,0.06292295455932617,0.06292295455932617,-3.0460299047361565,2.1239355733513148,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,899.7982025146482,0.2978096909090909,0.0,0.27400190783317896,0.27400190783317896,0.17489387807824297
12,2,26,25,0.3333333432674408,0.10216303169727325,0.16508598625659943,-3.052059969492951,2.3978711201780287,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,975.0490417480466,0.2991417032258064,0.0,0.274001907833179,0.274001907833179,5.551115123125783e-17
