edge_idx,u,v,edge_distance,t_pred_s,e_pred_J,dt_s,slowdown_idx,used_pred
0,5,29,1.274154543876648,6.0,455.7907258063787,6,0.1859265678912752,0
1,29,27,0.45044422149658203,1.507832840350115,222.8382450539284,2,0.21665076805684078,0
2,27,26,0.42720019817352295,1.4300249786088173,211.33924669161428,2,0.21665076805684078,0
3,26,25,6.361540794372559,21.294845548495257,3147.1035009552484,24,0.21665076805684078,0
4,25,23,0.9280086159706116,6.0,451.3920607282198,6,0.459023313803599,0
5,23,20,3.1761534214019775,6.0,461.5750000000117,11,0.0048598575341338,0
6,20,22,0.9209777116775513,6.0,457.4812500000117,6,0.5213864810333873,0
7,22,19,5.032394886016846,6.0,470.2032258064719,17,0.0070467603310366,0
8,19,17,0.5200961232185364,1.740988067561745,257.29558028806855,2,0.21665076805684078,0
9,17,10,0.40302029252052307,1.3490843114180466,199.37726009229246,2,0.21665076805684078,0
10,10,9,0.3252691328525543,1.0888173431058374,160.91315922370268,2,0.21665076805684078,0
