edge_idx,u,v,edge_distance,t_pred_s,e_pred_J,dt_s,slowdown_idx,used_pred
0,5,29,1.274154543876648,5.702334880828857,440.5310668945313,6,0.0,1
1,29,26,0.6646413803100586,4.8978142738342285,385.1072998046875,5,0.0,1
2,26,25,6.361540794372559,5.877938270568848,452.52581787109375,6,0.0,1
3,25,23,0.9280086159706116,5.777348518371582,447.9281311035156,6,0.0,1
4,23,20,3.1761534214019775,5.638376235961914,437.6012878417969,6,0.0,1
5,20,22,0.9209777116775513,5.7462615966796875,446.6920166015625,6,0.0,1
6,22,19,5.032394886016846,5.949921131134033,460.15045166015625,6,0.0,1
7,19,17,0.5200961232185364,5.024665832519531,389.8119201660156,5,0.0,1
8,17,10,0.40302029252052307,4.694225788116455,368.08062744140625,5,0.0,1
9,10,9,0.3252691328525543,4.672234535217285,366.9435729980469,5,0.0,1
