t_global_s,edge_idx,u,v,tau,delta_frac,frac,x,y,edge_distance,slowdown_idx,t_pred_s,e_pred_J,e_cum_J,ref_speed,ref_power_W,step_dist_m,Speed,accel_mps2
0,0,5,29,0.1666666716337204,0.06396809965372086,0.06396809965372086,-4.448760986328125,1.4419190883636475,1.274154543876648,0.0,5.702334880828857,440.5310668945313,73.42184448242189,0.1472365675,0.0,0.0,0.0,0.0
1,0,5,29,0.3333333432674408,0.15259136259555817,0.21655946224927902,-4.254969596862793,1.446496844291687,1.274154543876648,0.0,5.702334880828857,440.5310668945313,146.84368896484378,0.289992946875,0.0,0.193845449985912,0.193845449985912,0.193845449985912
2,0,5,29,0.5,0.18507331609725952,0.40163277834653854,-4.01992654800415,1.4520490169525146,1.274154543876648,0.0,5.702334880828857,440.5310668945313,220.26553344726568,0.2946678516129032,0.0,0.23510861625644833,0.23510861625644833,0.04126316627053633
3,0,5,29,0.6666666865348816,0.20860764384269714,0.6102404221892357,-3.7549946308135986,1.4583072662353516,1.274154543876648,0.0,5.702334880828857,440.5310668945313,293.68737792968756,0.296985828125,0.0,0.2650058233895012,0.2650058233895012,0.029897207133052855
4,0,5,29,0.8333333134651184,0.21019089221954346,0.8204313144087791,-3.4880523681640625,1.4646129608154297,1.274154543876648,0.0,5.702334880828857,440.5310668945313,367.10922241210943,0.295895640625,0.0,0.26701672863809706,0.26701672863809706,0.0020109052485958734
5,0,5,29,1.0,0.17956864833831787,1.0,-3.259999990463257,1.4700000286102295,1.274154543876648,0.0,5.702334880828857,440.5310668945313,440.5310668945313,0.295724564516129,0.0,0.22811599565663232,0.22811599565663232,-0.038900732981464736
6,1,29,26,0.20000000298023224,0.14649809896945953,0.14649809896945953,-3.2277705669403076,1.5256693363189697,0.6646413803100586,0.0,4.8978142738342285,385.1072998046875,517.5525268554688,0.2963343625,0.0,0.06432579234950812,0.06432579234950812,-0.16379020330712418
7,1,29,26,0.4000000059604645,0.1768883317708969,0.32338643074035645,-3.188854932785034,1.5928869247436523,0.6646413803100586,0.0,4.8978142738342285,385.1072998046875,594.5739868164063,0.2965067935483871,0.0,0.07767001207246663,0.07767001207246663,0.013344219722958503
8,1,29,26,0.6000000238418579,0.2116498500108719,0.5350362807512283,-3.142292022705078,1.673313856124878,0.6646413803100586,0.0,4.8978142738342285,385.1072998046875,671.5954467773438,0.298009509375,0.0,0.09293328728993956,0.09293328728993956,0.015263275217472935
9,1,29,26,0.800000011920929,0.2386111617088318,0.7736474424600601,-3.0897974967956543,1.7639859914779663,0.6646413803100586,0.0,4.8978142738342285,385.1072998046875,748.6169067382813,0.2990731,0.0,0.10477171078083983,0.10477171078083983,0.011838423490900266
10,1,29,26,1.0,0.2263525277376175,1.0,-3.0399999618530273,1.850000023841858,0.6646413803100586,0.0,4.8978142738342285,385.1072998046875,825.6383666992188,0.299099640625,0.0,0.09938917571777495,0.09938917571777495,-0.0053825350630648805
11,2,26,25,0.1666666716337204,0.05630724877119064,0.05630724877119064,-3.046602183463308,2.149927366159641,6.361540794372559,0.0,5.877938270568848,452.52581787109375,901.059336344401,0.2978096909090909,0.0,0.30000000000000004,0.30000000000000004,0.2006108242822251
12,2,26,25,0.3333333432674408,0.0935492143034935,0.14985646307468414,-3.053204433484746,2.449854707852016,6.361540794372559,0.0,5.877938270568848,452.52581787109375,976.4803059895833,0.2991417032258064,0.0,0.30000000000000004,0.30000000000000004,0.0
13,2,26,25,0.5,0.15336847305297852,0.30322493612766266,-3.059806609252745,2.7497820511789097,6.361540794372559,0.0,5.877938270568848,452.52581787109375,1051.9012756347656,0.298554559375,0.0,0.30000000000000004,0.30000000000000004,0.0
14,2,26,25,0.6666666865348816,0.20414437353610992,0.5073693096637726,-3.066408751128013,3.049709395251868,6.361540794372559,0.0,5.877938270568848,452.52581787109375,1127.322245279948,0.2990730774193548,0.0,0.2999999999999999,0.2999999999999999,-1.6653345369377348e-16
15,2,26,25,0.8333333134651184,0.24288928508758545,0.750258594751358,-3.073010922598837,3.349636738673354,6.361540794372559,0.0,5.877938270568848,452.52581787109375,1202.7432149251304,0.2990066156249999,0.0,0.30000000000000004,0.30000000000000004,1.6653345369377348e-16
16,2,26,25,1.0,0.24974140524864197,1.0,-3.0796130977442995,3.6495640820139514,6.361540794372559,0.0,5.877938270568848,452.52581787109375,1278.1641845703127,0.2983182580645161,0.0,0.3000000000000001,0.3000000000000001,5.551115123125783e-17
