t_global_s,edge_idx,u,v,tau,frac,x,y,edge_distance,slowdown_idx,t_pred_s,e_pred_J,e_cum_J,step_dist_m,Speed,accel_mps2
0,0,5,29,0.16666666666666666,0.16666666666666666,-4.318333625793457,1.4450000524520874,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,73.50405883789062,0.0,0.0,0.0
1,0,5,29,0.3333333333333333,0.3333333333333333,-4.1066670417785645,1.4500000476837158,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,147.00811767578125,0.211725630807538,0.211725630807538,0.211725630807538
2,0,5,29,0.5,0.5,-3.8949999809265137,1.4550000429153442,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,220.51217651367188,0.21172610751171447,0.21172610751171447,4.767041764663915e-07
3,0,5,29,0.6666666666666666,0.6666666666666666,-3.683333396911621,1.4600000381469727,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,294.0162353515625,0.211725630807538,0.211725630807538,-4.767041764663915e-07
4,0,5,29,0.8333333333333334,0.8333333333333334,-3.4716668128967285,1.465000033378601,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,367.5202941894531,0.211725630807538,0.211725630807538,0.0
5,0,5,29,1.0,1.0,-3.259999990463257,1.4700000286102295,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,441.02435302734375,0.21172586915962616,0.21172586915962616,2.3835208814992903e-07
6,1,29,26,0.2,0.2,-3.2160000801086426,1.5460000038146973,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,517.728955078125,0.08781792722612967,0.08781792722612967,-0.12390794193349648
7,1,29,26,0.4,0.4,-3.171999931335449,1.621999979019165,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,594.4335571289062,0.08781804668257467,0.08781804668257467,1.19456444999666e-07
8,1,29,26,0.6,0.6,-3.128000020980835,1.6979999542236328,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,671.1381591796874,0.08781792722612967,0.08781792722612967,-1.19456444999666e-07
9,1,29,26,0.8,0.8,-3.0839998722076416,1.7740000486373901,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,747.8427612304686,0.08781814984935163,0.08781814984935163,2.2262322195432116e-07
10,1,29,26,1.0,1.0,-3.0399999618530273,1.850000023841858,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,824.5473632812498,0.08781792722612967,0.08781792722612967,-2.2262322195432116e-07
11,2,26,25,0.16666666666666666,0.16666666666666666,-3.06333327293396,2.9099998474121094,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,899.7982025146482,1.060256605438025,1.060256605438025,0.9724386782118952
12,2,26,25,0.3333333333333333,0.3333333333333333,-3.0866665840148926,3.9700000286102295,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,975.0490417480466,1.0602569629792804,1.0602569629792804,3.5754125549125604e-07
13,2,26,25,0.5,0.5,-3.1100001335144043,5.03000020980835,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1050.299880981445,1.060256968226238,1.060256968226238,5.246957535121055e-09
14,2,26,25,0.6666666666666666,0.6666666666666666,-3.133333444595337,6.090000152587891,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1125.5507202148435,1.0602567246184433,1.0602567246184433,-2.436077946033066e-07
15,2,26,25,0.8333333333333334,0.8333333333333334,-3.1566667556762695,7.150000095367432,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1200.801559448242,1.0602567246184433,1.0602567246184433,0.0
16,2,26,25,1.0,1.0,-3.180000066757202,8.210000038146973,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1276.0523986816404,1.0602567246184433,1.0602567246184433,0.0
17,3,25,23,0.16666666666666666,0.16666666666666666,-3.0866668224334717,8.333333015441895,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1350.2412312825518,0.1546677658221741,0.1546677658221741,-0.9055889587962692
18,3,25,23,0.3333333333333333,0.3333333333333333,-2.993333339691162,8.456666946411133,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1424.4300638834632,0.1546686701602294,0.1546686701602294,9.043380553019897e-07
19,3,25,23,0.5,0.5,-2.9000000953674316,8.579999923706055,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1498.6188964843745,0.1546677658221741,0.1546677658221741,-9.043380553019897e-07
20,3,25,23,0.6666666666666666,0.6666666666666666,-2.806666851043701,8.703332901000977,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1572.807729085286,0.1546677658221741,0.1546677658221741,0.0
21,3,25,23,0.8333333333333334,0.8333333333333334,-2.7133331298828125,8.826665878295898,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1646.9965616861973,0.15466805356688315,0.15466805356688315,2.8774470905990057e-07
22,3,25,23,1.0,1.0,-2.619999885559082,8.949999809265137,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1721.1853942871087,0.1546685262886991,0.1546685262886991,4.7272181594171236e-07
23,4,23,20,0.16666666666666666,0.16666666666666666,-2.616666555404663,9.469999313354492,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,1793.6433258056634,0.5200101877301001,0.5200101877301001,0.365341661441401
24,4,23,20,0.3333333333333333,0.3333333333333333,-2.613333225250244,9.989999771118164,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,1866.101257324218,0.5200111413848233,0.5200111413848233,9.536547231903114e-07
25,4,23,20,0.5,0.5,-2.609999895095825,10.510000228881836,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,1938.5591888427728,0.5200111413848233,0.5200111413848233,0.0
26,4,23,20,0.6666666666666666,0.6666666666666666,-2.6066665649414062,11.030000686645508,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,2011.0171203613274,0.5200111413848233,0.5200111413848233,0.0
27,4,23,20,0.8333333333333334,0.8333333333333334,-2.6033332347869873,11.549999237060547,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,2083.475051879882,0.520009234075377,0.520009234075377,-1.9073094462696005e-06
28,4,23,20,1.0,1.0,-2.5999999046325684,12.069999694824219,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,2155.9329833984366,0.5200111413848233,0.5200111413848233,1.9073094462696005e-06
29,5,20,22,0.16666666666666666,0.16666666666666666,-2.7149999141693115,12.171666145324707,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2229.168355305989,0.15349615418901952,0.15349615418901952,-0.3665149871958038
30,5,20,22,0.3333333333333333,0.3333333333333333,-2.8299999237060547,12.273334503173828,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2302.403727213541,0.15349741750657553,0.15349741750657553,1.2633175560106125e-06
31,5,20,22,0.5,0.5,-2.944999933242798,12.375,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2375.6390991210933,0.15349552253523027,0.15349552253523027,-1.8949713452565131e-06
32,5,20,22,0.6666666666666666,0.6666666666666666,-3.059999942779541,12.476667404174805,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2448.8744710286455,0.1534967858461346,0.1534967858461346,1.263310904331405e-06
33,5,20,22,0.8333333333333334,0.8333333333333334,-3.174999952316284,12.578332901000977,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2522.1098429361978,0.15349552253523027,0.15349552253523027,-1.263310904331405e-06
34,5,20,22,1.0,1.0,-3.2899999618530273,12.680000305175781,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2595.34521484375,0.1534967858461346,0.1534967858461346,1.263310904331405e-06
35,6,22,19,0.16666666666666666,0.16666666666666666,-3.306666612625122,13.40666675567627,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2670.260828653971,0.7268575565617638,0.7268575565617638,0.5733607707156292
36,6,22,19,0.3333333333333333,0.3333333333333333,-3.323333501815796,14.133334159851074,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2745.1764424641924,0.7268585154522461,0.7268585154522461,9.588904823498723e-07
37,6,22,19,0.5,0.5,-3.3400001525878906,14.860000610351562,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2820.0920562744136,0.7268575565617638,0.7268575565617638,-9.588904823498723e-07
38,6,22,19,0.6666666666666666,0.6666666666666666,-3.3566670417785645,15.586668014526367,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2895.007670084635,0.7268585154522461,0.7268585154522461,9.588904823498723e-07
39,6,22,19,0.8333333333333334,0.8333333333333334,-3.37333345413208,16.31333351135254,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2969.923283894856,0.7268565976713458,0.7268565976713458,-1.917780900306809e-06
40,6,22,19,1.0,1.0,-3.390000104904175,17.040000915527344,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,3044.838897705077,0.7268585099853395,0.7268585099853395,1.912313993712722e-06
41,7,19,17,0.2,0.2,-3.392000198364258,17.144001007080078,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3120.8564086914052,0.10401932232439413,0.10401932232439413,-0.6228391876609454
42,7,19,17,0.4,0.4,-3.3940000534057617,17.248001098632812,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3196.8739196777333,0.10401931774033206,0.10401931774033206,-4.584062074375339e-09
43,7,19,17,0.6,0.6,-3.396000385284424,17.352001190185547,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3272.8914306640613,0.10401932690900247,0.10401932690900247,9.16867040623437e-09
44,7,19,17,0.8,0.8,-3.3980000019073486,17.45599937438965,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3348.9089416503894,0.10401740616064659,0.10401740616064659,-1.9207483558797422e-06
45,7,19,17,1.0,1.0,-3.4000000953674316,17.559999465942383,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3424.9264526367174,0.10401932232439413,0.10401932232439413,1.916163747547883e-06
46,8,17,10,0.2,0.2,-3.4019999504089355,17.61199951171875,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3495.4200317382797,0.05203848749657614,0.05203848749657614,-0.05198083482781799
47,8,17,10,0.4,0.4,-3.4040002822875977,17.663999557495117,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3565.913610839842,0.05203850582375588,0.05203850582375588,1.8327179739097144e-08
48,8,17,10,0.6,0.6,-3.4060001373291016,17.715999603271484,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3636.4071899414043,0.05203848749657614,0.05203848749657614,-1.8327179739097144e-08
49,8,17,10,0.8,0.8,-3.4080002307891846,17.76799964904785,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3706.9007690429667,0.05203849665962065,0.05203849665962065,9.163044510651641e-09
50,8,17,10,1.0,1.0,-3.4100000858306885,17.81999969482422,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3777.394348144529,0.05203848749657614,0.05203848749657614,-9.163044510651641e-09
51,9,10,9,0.2,0.2,-3.3640003204345703,17.865999221801758,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,3848.0282897949196,0.0650533235019953,0.0650533235019953,0.01301483600541916
52,9,10,9,0.4,0.4,-3.318000316619873,17.91200065612793,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,3918.66223144531,0.06505484079618723,0.06505484079618723,1.5172941919272542e-06
53,9,10,9,0.6,0.6,-3.272000312805176,17.95800018310547,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,3989.296173095701,0.06505349209004468,0.06505349209004468,-1.3487061425454527e-06
54,9,10,9,0.8,0.8,-3.2260003089904785,18.003999710083008,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,4059.9301147460915,0.06505349209004468,0.06505349209004468,0.0
55,9,10,9,1.0,1.0,-3.180000066757202,18.049999237060547,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,4130.564056396483,0.06505366067853097,0.06505366067853097,1.6858848628231726e-07
