t_global_s,edge_idx,u,v,tau,delta_frac,frac,x,y,edge_distance,slowdown_idx,t_pred_s,e_pred_J,e_cum_J,step_dist_m,Speed,accel_mps2
0,0,5,29,0.1666666716337204,0.1115303561091423,0.1115303561091423,-4.388356685638428,1.4433459043502808,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,73.50405883789062,0.0,0.0,0.0
1,0,5,29,0.3333333432674408,0.15758883953094482,0.2691191956400871,-4.188218593597412,1.4480736255645752,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,147.00811767578125,0.20019392406788505,0.20019392406788505,0.20019392406788505
2,0,5,29,0.5,0.1963375210762024,0.4654567167162895,-3.9388699531555176,1.4539637565612793,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,220.51217651367188,0.24941819928260955,0.24941819928260955,0.0492242752147245
3,0,5,29,0.6666666865348816,0.21473456919193268,0.6801912859082222,-3.6661572456359863,1.4604058265686035,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,294.0162353515625,0.27278878479258023,0.27278878479258023,0.023370585509970676
4,0,5,29,0.8333333134651184,0.18466992676258087,0.8648612126708031,-3.431626319885254,1.465945839881897,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,367.5202941894531,0.23459634882283875,0.23459634882283875,-0.03819243596974148
5,0,5,29,1.0,0.1351388543844223,1.0,-3.259999990463257,1.4700000286102295,1.274154543876648,0.1859265678912752,5.731686592102051,441.02435302734375,441.02435302734375,0.17167420713989856,0.17167420713989856,-0.06292214168294019
6,1,29,26,0.20000000298023224,0.1572617143392563,0.1572617143392563,-3.225402355194092,1.5297595262527466,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,517.728955078125,0.06905211021181162,0.06905211021181162,-0.10262209692808694
7,1,29,26,0.4000000059604645,0.2003461718559265,0.3576078861951828,-3.181326389312744,1.6058909893035889,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,594.4335571289062,0.08796982684213654,0.08796982684213654,0.01891771663032492
8,1,29,26,0.6000000238418579,0.23282866179943085,0.5904365479946136,-3.1301040649414062,1.6943659782409668,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,671.1381591796874,0.1022328234055565,0.1022328234055565,0.014262996563419963
9,1,29,26,0.800000011920929,0.22703026235103607,0.8174668103456497,-3.0801572799682617,1.7806373834609985,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,747.8427612304686,0.09968669263142627,0.09968669263142627,-0.0025461307741302397
10,1,29,26,1.0,0.18253326416015625,1.0,-3.0399999618530273,1.850000023841858,0.6646413803100586,0.0141617355944353,4.980531215667725,383.52301025390625,824.5473632812498,0.08014852511938417,0.08014852511938417,-0.0195381675120421
11,2,26,25,0.1666666716337204,0.14769908785820007,0.14769908785820007,-3.0460299698540902,2.123935571917914,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,899.7982025146482,0.2740019078331792,0.2740019078331792,0.193853382713795
