start_node,goal_node,mission,goal_is_operation_node,n_alpha_values,n_unique_routes,route_changed_across_alpha,min_pred_time_s,max_pred_time_s,range_pred_time_s,min_pred_energy_J,max_pred_energy_J,range_pred_energy_J,low_alpha,high_alpha,low_alpha_route,high_alpha_route
1,5,1->5,1,5,2,1,60.0468430519104,69.25889444351196,9.212051391601562,4617.65576171875,5323.45654296875,705.80078125,0.0,1.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 29 -> 5,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 29 -> 5
1,6,1->6,1,5,2,1,70.47394800186157,79.68599939346313,9.212051391601562,5420.130615234375,6125.931396484375,705.80078125,0.0,1.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 28 -> 34 -> 33 -> 6,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 28 -> 34 -> 33 -> 6
3,5,3->5,1,5,2,1,59.68702459335327,68.89907598495483,9.212051391601562,4590.6505126953125,5296.4512939453125,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 29 -> 5,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 29 -> 5
3,6,3->6,1,5,2,1,70.11412954330444,79.326180934906,9.212051391601562,5393.1253662109375,6098.9261474609375,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 28 -> 34 -> 33 -> 6,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 28 -> 34 -> 33 -> 6
5,2,5->2,1,5,2,1,59.60138273239136,64.21020603179932,4.608823299407959,4584.608215332031,4937.526092529297,352.9178771972656,0.0,1.0,5 -> 29 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 12 -> 13 -> 11 -> 2,5 -> 29 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 15 -> 12 -> 13 -> 11 -> 2
6,2,6->2,1,5,2,1,70.10441780090332,74.71324110031128,4.608823299407959,5393.057952880859,5745.975830078125,352.9178771972656,0.0,1.0,6 -> 33 -> 34 -> 28 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 12 -> 13 -> 11 -> 2,6 -> 33 -> 34 -> 28 -> 26 -> 25 -> 23 -> 20 -> 21 -> 14 -> 15 -> 12 -> 13 -> 11 -> 2
1,20,1->20,0,5,2,1,31.788146495819092,41.000197887420654,9.212051391601562,2441.7974243164062,3147.5982055664062,705.80078125,0.0,1.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20
3,23,3->23,0,5,2,1,37.07369947433472,46.28575086593628,9.212051391601562,2849.1397399902344,3554.9405212402344,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23
3,35,3->35,0,5,2,1,59.62628221511841,68.83833360671997,9.212051391601562,4586.3741455078125,5292.1749267578125,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 24 -> 30 -> 32 -> 35,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24 -> 30 -> 32 -> 35
3,34,3->34,0,5,2,1,59.28286695480347,68.49491834640503,9.212051391601562,4559.194396972656,5264.995178222656,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 28 -> 34,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 28 -> 34
3,33,3->33,0,5,2,1,64.5749192237854,73.78697061538696,9.212051391601562,4966.679748535156,5672.480529785156,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 28 -> 34 -> 33,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 28 -> 34 -> 33
3,32,3->32,0,5,2,1,54.17555809020996,63.38760948181152,9.212051391601562,4166.379180908203,4872.179962158203,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 24 -> 30 -> 32,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24 -> 30 -> 32
3,31,3->31,0,5,2,1,53.916386127471924,63.128437519073486,9.212051391601562,4146.3897705078125,4852.1905517578125,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 24 -> 30 -> 31,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24 -> 30 -> 31
3,30,3->30,0,5,2,1,48.52874040603638,57.74079179763794,9.212051391601562,3731.0708923339844,4436.871673583984,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 24 -> 30,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24 -> 30
