t_global_s,edge_idx,u,v,tau,delta_frac,frac,x,y,edge_distance,slowdown_idx,t_pred_s,e_pred_J,e_cum_J,ref_speed,ref_power_W,step_dist_m,Speed,accel_mps2
0,0,5,29,0.20000000298023224,0.1771034449338913,0.1771034449338913,-4.305078506469727,1.4453132152557373,1.274154543876648,0.0,1.274154543876648,1.274154543876648,0.2548309087753296,0.1472365675,0.0,0.0,0.0,0.0
1,0,5,29,0.4000000059604645,0.19283972680568695,0.36994317173957825,-4.0601725578308105,1.4510984420776367,1.274154543876648,0.0,1.274154543876648,1.274154543876648,0.5096618175506592,0.289992946875,0.0,0.24497426911434636,0.24497426911434636,0.24497426911434636
2,0,5,29,0.6000000238418579,0.2005278766155243,0.5704710483551025,-3.805501937866211,1.4571142196655273,1.274154543876648,0.0,1.274154543876648,1.274154543876648,0.7644927263259889,0.2946678516129032,0.0,0.25474166179315955,0.25474166179315955,0.009767392678813186
3,0,5,29,0.800000011920929,0.21178242564201355,0.7822534739971161,-3.5365381240844727,1.4634677171707153,1.274154543876648,0.0,1.274154543876648,1.274154543876648,1.0193236351013184,0.296985828125,0.0,0.26903884488037416,0.26903884488037416,0.014297183087214616
4,0,5,29,1.0,0.2177465558052063,1.0,-3.259999990463257,1.4700000286102295,1.274154543876648,0.0,1.274154543876648,1.274154543876648,1.274154543876648,0.295895640625,0.0,0.27661527513759654,0.27661527513759654,0.007576430257222377
5,1,29,26,0.3333333432674408,0.3170112371444702,0.3170112371444702,-3.1902575492858887,1.5904643535614014,0.6646413803100586,0.0,0.6646413803100586,0.6646413803100586,1.4957016706466675,0.295724564516129,0.0,0.13919648590147737,0.13919648590147737,-0.13741878923611917
6,1,29,26,0.6666666865348816,0.3336830735206604,0.6506943106651306,-3.116847038269043,1.7172638177871704,0.6646413803100586,0.0,0.6646413803100586,0.6646413803100586,1.717248797416687,0.2963343625,0.0,0.1465169179845676,0.1465169179845676,0.007320432083090217
7,1,29,26,1.0,0.3493057191371918,1.0,-3.0399999618530273,1.850000023841858,0.6646413803100586,0.0,0.6646413803100586,0.6646413803100586,1.9387959241867065,0.2965067935483871,0.0,0.15337657432437785,0.15337657432437785,0.006859656339810255
8,2,26,25,0.04545454680919647,0.00946158729493618,0.00946158729493618,-3.0413246154785156,1.9101756811141968,6.361540794372559,0.0,6.361540794372559,6.361540794372559,2.2279568693854594,0.298009509375,0.0,0.06019023538237335,0.06019023538237335,-0.0931863389420045
9,2,26,25,0.09090909361839294,0.011594800278544426,0.021056387573480606,-3.042947769165039,1.98391854763031,6.361540794372559,0.0,6.361540794372559,6.361540794372559,2.5171178145842124,0.2990731,0.0,0.07376072796484168,0.07376072796484168,0.013570492582468327
10,2,26,25,0.13636364042758942,0.013699408620595932,0.03475579619407654,-3.044865608215332,2.071046829223633,6.361540794372559,0.0,6.361540794372559,6.361540794372559,2.8062787597829653,0.299099640625,0.0,0.08714938645812817,0.08714938645812817,0.013388658493286493
11,2,26,25,0.1818181872367859,0.015933411195874214,0.05068920738995075,-3.0470964908599854,2.1723833084106445,6.361540794372559,0.0,6.361540794372559,6.361540794372559,3.095439704981718,0.2978096909090909,0.0,0.10136103221353793,0.10136103221353793,0.014211645755409757
12,2,26,25,0.22727273404598236,0.01896856725215912,0.06965777464210987,-3.0497517585754395,2.2930233478546143,6.361540794372559,0.0,6.361540794372559,6.361540794372559,3.384600650180471,0.2991417032258064,0.0,0.12066925691195461,0.12066925691195461,0.019308224698416684
13,2,26,25,0.27272728085517883,0.022024884819984436,0.09168265946209431,-3.052835464477539,2.4331016540527344,6.361540794372559,0.0,6.361540794372559,6.361540794372559,3.673761595379224,0.298554559375,0.0,0.14011224468055938,0.14011224468055938,0.019442987768604772
14,2,26,25,0.3181818127632141,0.025911228731274605,0.11759388819336891,-3.0564632415771484,2.5978970527648926,6.361540794372559,0.0,6.361540794372559,6.361540794372559,3.962922540577977,0.2990730774193548,0.0,0.16483532450110214,0.16483532450110214,0.024723079820542754
15,2,26,25,0.3636363744735718,0.029797803610563278,0.1473916918039322,-3.0606348514556885,2.7874112129211426,6.361540794372559,0.0,6.361540794372559,6.361540794372559,4.25208348577673,0.2990066156249999,0.0,0.18956006760050365,0.18956006760050365,0.02472474309940151
16,2,26,25,0.40909090638160706,0.03387375548481941,0.1812654472887516,-3.0653769969940186,3.0028481483459473,6.361540794372559,0.0,6.361540794372559,6.361540794372559,4.541244430975483,0.2983182580645161,0.0,0.21548912058277597,0.21548912058277597,0.025929052982272327
17,2,26,25,0.4545454680919647,0.03878416493535042,0.22004961222410202,-3.0708069801330566,3.2495155334472656,6.361540794372559,0.0,6.361540794372559,6.361540794372559,4.830405376174236,0.298873646875,0.0,0.2467271440065165,0.2467271440065165,0.03123802342374052
18,2,26,25,0.5,0.043520115315914154,0.2635697275400162,-3.076899766921997,3.526303291320801,6.361540794372559,0.0,6.361540794372559,6.361540794372559,5.1195663213729885,0.2984417612903225,0.0,0.2768548084457162,0.2768548084457162,0.030127664439199703
19,2,26,25,0.5454545617103577,0.04916395992040634,0.3127336874604225,-3.083501892986601,3.8262306357417906,6.361540794372559,0.0,6.361540794372559,6.361540794372559,5.408727266571741,0.298860353125,0.0,0.29999999999999993,0.29999999999999993,0.02314519155428374
20,2,26,25,0.5909090638160706,0.05478927120566368,0.3675229586660862,-3.090103982754004,4.126157980961767,6.361540794372559,0.0,6.361540794372559,6.361540794372559,5.697888211770494,0.299192734375,0.0,0.2999999999999996,0.2999999999999996,-3.3306690738754696e-16
21,2,26,25,0.6363636255264282,0.059636183083057404,0.4271591417491436,-3.096706227874732,4.42608532276202,6.361540794372559,0.0,6.361540794372559,6.361540794372559,5.987049156969247,0.298195628125,0.0,0.3000000000000002,0.3000000000000002,6.106226635438361e-16
22,2,26,25,0.6818181872367859,0.06471440941095352,0.4918735511600971,-3.103308486090566,4.726012664274013,6.361540794372559,0.0,6.361540794372559,6.361540794372559,6.276210102168,0.2986476225806452,0.0,0.29999999999999966,0.29999999999999966,-5.551115123125783e-16
23,2,26,25,0.7272727489471436,0.06885349750518799,0.5607270486652851,-3.1099105933261977,5.025940009109473,6.361540794372559,0.0,6.361540794372559,6.361540794372559,6.565371047366753,0.29796965,0.0,0.29999999999999954,0.29999999999999954,-1.1102230246251565e-16
24,2,26,25,0.7727272510528564,0.07289845496416092,0.633625503629446,-3.1165127211410284,5.325867353491936,6.361540794372559,0.0,6.361540794372559,6.361540794372559,6.854531992565506,0.2982754125,0.0,0.30000000000000016,0.30000000000000016,6.106226635438361e-16
25,2,26,25,0.8181818127632141,0.0732748806476593,0.7069003842771053,-3.123114929653913,5.625794696098028,6.361540794372559,0.0,6.361540794372559,6.361540794372559,7.143692937764259,0.2975085838709677,0.0,0.2999999999999997,0.2999999999999997,-4.440892098500626e-16
26,2,26,25,0.8636363744735718,0.0732748806476593,0.7801752649247646,-3.129717170551963,5.925722037991234,6.361540794372559,0.0,6.361540794372559,6.361540794372559,7.432853882963012,0.29864765,0.0,0.2999999999999995,0.2999999999999995,-2.220446049250313e-16
27,2,26,25,0.9090909361839294,0.0732748806476593,0.8534501455724239,-3.136319327637052,6.225649381729386,6.361540794372559,0.0,6.361540794372559,6.361540794372559,7.722014828161765,0.298208909375,0.0,0.2999999999999996,0.2999999999999996,1.1102230246251565e-16
28,2,26,25,0.9545454382896423,0.0732748806476593,0.9267250262200832,-3.1429215258066603,6.5255767245631615,6.361540794372559,0.0,6.361540794372559,6.361540794372559,8.011175773360517,0.2985545968749999,0.0,0.30000000000000016,0.30000000000000016,5.551115123125783e-16
29,2,26,25,1.0,0.0732748806476593,1.0,-3.149523707210498,6.825504067765996,6.361540794372559,0.0,6.361540794372559,6.361540794372559,8.300336718559269,0.2990066156249999,0.0,0.30000000000000004,0.30000000000000004,-1.1102230246251565e-16
30,3,25,23,0.25,0.2441217601299286,0.2441217601299286,-3.129208355986528,7.124815421551058,0.9280086159706116,0.0,0.9280086159706116,0.9280086159706116,8.532338872551922,0.2989770193548386,0.0,0.2999999999999997,0.2999999999999997,-3.3306690738754696e-16
31,3,25,23,0.5,0.25074660778045654,0.49486836791038513,-3.082983885860146,7.421232860919147,0.9280086159706116,0.0,0.9280086159706116,0.9280086159706116,8.764341026544574,0.2908570843749999,0.0,0.29999999999999954,0.29999999999999954,-1.6653345369377348e-16
32,3,25,23,0.75,0.25068238377571106,0.7455507516860962,-3.013223413982273,7.713009276284366,0.9280086159706116,0.0,0.9280086159706116,0.9280086159706116,8.996343180537227,0.181935215625,0.0,0.2999999999999999,0.2999999999999999,3.3306690738754696e-16
33,3,25,23,1.0,0.2544492781162262,1.0,-2.922338793348516,7.998911332471897,0.9280086159706116,0.0,0.9280086159706116,0.9280086159706116,9.22834533452988,0.1082635129032258,0.0,0.3000000000000002,0.3000000000000002,3.3306690738754696e-16
34,4,23,20,0.09090909361839294,0.060312021523714066,0.060312021523714066,-2.845101250325771,8.288798141326335,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,9.517086554657332,0.140629221875,0.0,0.30000000000000043,0.30000000000000043,2.220446049250313e-16
35,4,23,20,0.1818181872367859,0.06403380632400513,0.12434582784771919,-2.781503165449697,8.58197945655651,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,9.805827774784785,0.15999931875,0.0,0.2999999999999992,0.2999999999999992,-1.2212453270876722e-15
36,4,23,20,0.27272728085517883,0.06411734968423843,0.18846317753195763,-2.730398828376653,8.877594656998443,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,10.094568994912237,0.1386196354838709,0.0,0.2999999999999992,0.2999999999999992,0.0
37,4,23,20,0.3636363744735718,0.06605426967144012,0.25451744720339775,-2.690764566438403,9.174965007370854,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,10.383310215039689,0.139858153125,0.0,0.3000000000000005,0.3000000000000005,1.27675647831893e-15
38,4,23,20,0.4545454680919647,0.07473297417163849,0.32925042137503624,-2.6619749636971113,9.473580410145056,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,10.672051435167141,0.1943226935483871,0.0,0.2999999999999999,0.2999999999999999,-6.106226635438361e-16
39,4,23,20,0.5454545617103577,0.09078039973974228,0.4200308211147785,-2.6428092726237966,9.772967578015828,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,10.960792655294593,0.258870528125,0.0,0.29999999999999993,0.29999999999999993,5.551115123125783e-17
40,4,23,20,0.6363636255264282,0.10295459628105164,0.5229854173958302,-2.6304786535111657,10.072714063954027,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,11.249533875422046,0.29063105,0.0,0.2999999999999994,0.2999999999999994,-5.551115123125783e-16
41,4,23,20,0.7272727489471436,0.11011942476034164,0.6331048421561718,-2.622338994711096,10.37260362021536,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,11.538275095549498,0.298235528125,0.0,0.30000000000000066,0.30000000000000066,1.27675647831893e-15
