u_node_id,v_node_id,tau_idx,tau,frac,n_samples_used
1,7,0,0.0,0.0,7
1,7,1,0.01,0.0,7
1,7,2,0.02,0.0,7
1,7,3,0.03,0.0,7
1,7,4,0.04,0.0,7
1,7,5,0.05,0.0,7
1,7,6,0.06,0.0,7
1,7,7,0.07,0.0,7
1,7,8,0.08,0.0,7
1,7,9,0.09,0.0,7
1,7,10,0.1,0.0,7
1,7,11,0.11,0.0,7
1,7,12,0.12,0.0,7
1,7,13,0.13,0.00018868662300519645,7
1,7,14,0.14,0.0005660598981194198,7
1,7,15,0.15,0.0009434331441298127,7
1,7,16,0.16,0.0013208064483478665,7
1,7,17,0.17,0.0016981796361505985,7
1,7,18,0.18,0.0020755529403686523,7
1,7,19,0.19,0.002452926244586706,7
1,7,20,0.2,0.0028302993159741163,7
1,7,21,0.21,0.00320767262019217,7
1,7,22,0.22,0.003585045924410224,7
1,7,23,0.23,0.003962418995797634,7
1,7,24,0.24,0.004339792300015688,7
1,7,25,0.25,0.004717165604233742,7
1,7,26,0.26,0.01682913675904274,7
1,7,27,0.27,0.028941107913851738,7
1,7,28,0.28,0.041053079068660736,7
1,7,29,0.29,0.053165048360824585,7
1,7,30,0.3,0.06527701765298843,7
1,7,31,0.31,0.07738898694515228,7
1,7,32,0.32,0.08950096368789673,7
1,7,33,0.33,0.10161293298006058,7
1,7,34,0.34,0.11372490227222443,7
1,7,35,0.35,0.12583687901496887,7
1,7,36,0.36,0.13794884085655212,7
1,7,37,0.37,0.15006081759929657,7
1,7,38,0.38,0.16194511950016022,7
1,7,39,0.39,0.17360176146030426,7
1,7,40,0.4,0.1852584034204483,7
1,7,41,0.41,0.19691504538059235,7
1,7,42,0.42,0.2085716873407364,7
1,7,43,0.43,0.22022832930088043,7
1,7,44,0.44,0.23188497126102448,7
1,7,45,0.45,0.24354161322116852,7
1,7,46,0.46,0.25519824028015137,7
1,7,47,0.47,0.2668548822402954,7
1,7,48,0.48,0.27851152420043945,7
1,7,49,0.49,0.2901681661605835,7
1,7,50,0.5,0.30182480812072754,7
1,7,51,0.51,0.31426700949668884,7
1,7,52,0.52,0.32670918107032776,7
1,7,53,0.53,0.3391513526439667,7
1,7,54,0.54,0.351593554019928,7
1,7,55,0.55,0.3640357255935669,7
1,7,56,0.56,0.3764778971672058,7
1,7,57,0.57,0.3889200985431671,7
1,7,58,0.58,0.40136227011680603,7
1,7,59,0.59,0.41380444169044495,7
1,7,60,0.6,0.42624664306640625,7
1,7,61,0.61,0.43868881464004517,7
1,7,62,0.62,0.4511309862136841,7
1,7,63,0.63,0.46377307176589966,7
1,7,64,0.64,0.4766150116920471,7
1,7,65,0.65,0.48945698142051697,7
1,7,66,0.66,0.5022989511489868,7
1,7,67,0.67,0.5151408910751343,7
1,7,68,0.68,0.5279828310012817,7
1,7,69,0.69,0.5408247709274292,7
1,7,70,0.7,0.5536667704582214,7
1,7,71,0.71,0.5665087103843689,7
1,7,72,0.72,0.5793506503105164,7
1,7,73,0.73,0.5921925902366638,7
1,7,74,0.74,0.605034589767456,7
1,7,75,0.75,0.6178765296936035,7
1,7,76,0.76,0.6296384930610657,7
1,7,77,0.77,0.6414005160331726,7
1,7,78,0.78,0.6531624794006348,7
1,7,79,0.79,0.6649245023727417,7
1,7,80,0.8,0.6766864657402039,7
1,7,81,0.81,0.688448429107666,7
1,7,82,0.82,0.700210452079773,7
1,7,83,0.83,0.7119724154472351,7
1,7,84,0.84,0.723734438419342,7
1,7,85,0.85,0.7354964017868042,7
1,7,86,0.86,0.7472584247589111,7
1,7,87,0.87,0.7590203881263733,7
1,7,88,0.88,0.7743053436279297,7
1,7,89,0.89,0.7931132316589355,7
1,7,90,0.9,0.8119211196899414,7
1,7,91,0.91,0.8307290077209473,7
1,7,92,0.92,0.8495368957519531,7
1,7,93,0.93,0.868344783782959,7
1,7,94,0.94,0.8871526718139648,7
1,7,95,0.95,0.9059605598449707,7
1,7,96,0.96,0.9247684478759766,7
1,7,97,0.97,0.9435763359069824,7
1,7,98,0.98,0.9623842239379883,7
1,7,99,0.99,0.9811921119689941,7
1,7,100,1.0,1.0,7
2,11,0,0.0,0.0,8
2,11,1,0.01,0.006512284278869629,8
2,11,2,0.02,0.013024568557739258,8
2,11,3,0.03,0.019536852836608887,8
2,11,4,0.04,0.026049137115478516,8
2,11,5,0.05,0.032561421394348145,8
2,11,6,0.06,0.03907370567321777,8
2,11,7,0.07,0.0455859899520874,8
2,11,8,0.08,0.05209827423095703,8
2,11,9,0.09,0.05861055850982666,8
2,11,10,0.1,0.06512284278869629,8
2,11,11,0.11,0.0716351568698883,8
2,11,12,0.12,0.07970833778381348,8
2,11,13,0.13,0.08797666430473328,8
2,11,14,0.14,0.09624499082565308,8
2,11,15,0.15,0.10451331734657288,8
2,11,16,0.16,0.11278164386749268,8
2,11,17,0.17,0.12104994058609009,8
2,11,18,0.18,0.1293182671070099,8
2,11,19,0.19,0.1375865936279297,8
