t_sec,timestamp_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Cumulative energy consumption,Heading,Position confidence,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,Battery value,Going to ID,Current segment,Target reached,step_energy,energy_cum_from_start
0,11:07:37,-3.493998,21.817720625,0.0,225.0,5390.3125,198705.39375,1.602891,100.0,0.0,0.0,49.0,1,74,0,0.0,0.0
1,11:07:38,-3.493998,21.82028,0.0,226.0,5406.5,198768.9,1.602891,100.0,0.0,0.0,49.0,1,74,1,63.50625000000582,63.50625000000582
2,11:07:39,-3.493998,21.817801875,0.0,225.0625,5386.71875,198832.14375,1.602891,100.0,0.0,0.0,49.0,1,74,0,63.24374999999418,126.75
3,11:07:40,-3.493998,21.816176875,0.0,225.0,5384.0,198896.4125,1.6045269375,100.0,0.0,0.0,49.0,1,74,0,64.26875000001746,191.01875000001746
4,11:07:41,-3.4925721935483867,21.817323548387098,0.0,225.0,5382.451612903225,198957.96451612905,1.6040730967741936,100.0,0.0,0.0,49.0,1,74,0,61.55201612904784,252.5707661290653
5,11:07:42,-3.493998,21.81825121212121,0.0,225.0,5382.212121212121,199020.2787878788,1.602891,100.0,0.0,0.0,49.0,1,74,0,62.31427174975397,314.8850378788193
6,11:07:43,-3.493998,21.820678387096773,0.0,225.0,5382.0,199082.1258064516,1.602891,100.0,0.0,0.0,49.0,1,74,0,61.84701857279288,376.73205645161215
7,11:07:44,-3.493998,21.820890606060605,0.0,225.0,5382.0,199145.12424242427,1.602891,100.0,0.0,0.0,49.0,1,74,0,62.9984359726659,439.73049242427805
8,11:07:45,-3.493998,21.819305,0.0,225.0,5382.0,199208.240625,1.602891,100.0,0.0,0.0,49.0,1,74,0,63.11638257573941,502.84687500001746
9,11:07:46,-3.493998,21.819042903225803,0.0,225.0,5389.677419354839,199269.41612903227,1.602891,100.0,0.0,0.0,49.0,1,74,0,61.175504032260505,564.022379032278
10,11:07:47,-3.493998,21.8158925,0.0,234.375,5613.09375,199334.415625,1.602891,100.0,0.0,0.0,49.0,5,72,0,64.99949596772785,629.0218750000058
11,11:07:48,-3.49544765625,21.8194984375,0.000624841940625,265.3125,6386.375,199405.375,1.74900065625,99.1875,92.15625,-85.0,49.0,5,72,0,70.95937500000582,699.9812500000116
12,11:07:49,-3.512042640625,21.83360671875,0.0004254243,267.0,6420.96875,199479.26875000002,2.11464190625,93.3125,100.0,-70.83333333333333,49.0,5,72,0,73.89375000001746,773.8750000000291
13,11:07:50,-3.5288929999999996,21.81799193548387,0.0004254243,267.1290322580645,6428.129032258064,199552.2387096774,2.4189308064516126,81.64516129032258,100.0,-56.66666666666667,49.0,5,72,0,72.96995967737166,846.8449596774008
14,11:07:51,-3.50407234375,21.804112812499998,0.0004254243,266.78125,6424.71875,199624.809375,2.7727802500000003,71.0,100.0,-42.5,49.0,5,72,0,72.57066532262252,919.4156250000233
15,11:07:52,-3.458964290322581,21.795247741935484,0.0004254243,266.93548387096774,6428.129032258064,199699.9225806452,2.2893123548387098,66.2258064516129,100.0,-28.333333333333336,49.0,5,72,0,75.11320564517519,994.5288306451985
16,11:07:53,-3.440650453125,21.800381875,0.0004254243,267.03125,6429.71875,199773.421875,-2.8095580625000003,49.59375,100.0,-14.16666666666667,49.0,5,72,0,73.49929435481317,1068.0281250000116
